RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
67,Chris Boucher,F-C,29.25,80,21.1,44.0,17.8,6.1,193.0,0.777,348.0,0.575,229.0,0.297,0.523,0.57,9.4,6.2,15.8,0.3,2.2,0.6,0.94,0.54,4.9,123.4,101.9,2021-2022,Toronto Raptors
77,Armoni Brooks,G,23.85,13,11.8,24.6,11.9,9.3,2.0,1.0,2.0,0.5,36.0,0.278,0.421,0.437,2.6,1.7,7.8,1.0,11.0,0.54,0.23,0.31,5.6,106.5,105.3,2021-2022,Toronto Raptors
113,Justin Champagnie,G-F,20.78,36,7.8,16.3,12.0,10.1,9.0,1.0,39.0,0.538,28.0,0.357,0.537,0.571,2.3,2.0,13.9,0.3,5.4,0.22,0.11,0.22,5.7,127.8,102.7,2021-2022,Toronto Raptors
149,Sam Dekker,F,27.93,1,0.9,1.9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Toronto Raptors
170,Goran Dragic,G,35.93,5,18.0,37.4,18.8,2.5,10.0,1.0,20.0,0.45,14.0,0.286,0.441,0.521,8.0,2.8,8.4,1.8,14.4,1.0,0.2,0.2,7.6,122.2,103.6,2021-2022,Toronto Raptors
198,Malachi Flynn,G,23.92,44,12.2,25.4,16.5,6.3,24.0,0.625,93.0,0.452,90.0,0.333,0.475,0.488,4.3,1.4,6.4,1.6,18.5,0.45,0.09,0.3,7.0,112.8,106.4,2021-2022,Toronto Raptors
334,David Johnson,G,21.12,2,1.0,2.1,21.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Toronto Raptors
465,Juwan Morgan,F,24.98,1,27.4,57.1,4.7,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.833,0.833,5.0,4.0,7.9,1.0,4.8,0.0,0.0,0.0,4.0,184.0,106.6,2021-2022,Toronto Raptors
478,Svi Mykhailiuk,G-F,24.84,56,12.8,26.6,16.9,11.3,37.0,0.865,100.0,0.5,134.0,0.306,0.476,0.509,4.6,1.6,7.0,0.8,8.8,0.46,0.07,0.57,5.6,104.4,107.4,2021-2022,Toronto Raptors
509,Daniel Oturu,C,22.56,3,9.1,19.0,12.9,0.0,5.0,0.6,5.0,0.6,1.0,0.0,0.5,0.549,3.0,1.7,9.9,0.0,0.0,0.0,0.67,0.0,0.0,122.8,112.4,2021-2022,Toronto Raptors
591,Pascal Siakam,F,28.03,68,37.9,79.0,25.8,11.6,379.0,0.749,989.0,0.527,218.0,0.344,0.525,0.565,22.8,8.5,12.2,5.3,23.0,1.25,0.62,2.66,10.6,115.6,103.8,2021-2022,Toronto Raptors
650,Gary Trent Jr.,G-F,23.23,70,35.0,72.9,21.8,5.8,204.0,0.853,541.0,0.445,545.0,0.383,0.511,0.546,18.3,2.7,4.2,2.0,8.8,1.79,0.26,1.03,5.3,114.0,109.4,2021-2022,Toronto Raptors
659,Fred VanVleet,G,28.12,65,37.9,78.9,23.7,12.5,222.0,0.874,455.0,0.44,642.0,0.377,0.513,0.552,20.3,4.5,6.4,6.7,26.7,1.71,0.55,2.62,9.0,114.5,107.9,2021-2022,Toronto Raptors
676,Yuta Watanabe,G-F,27.49,38,11.7,24.4,16.8,10.9,40.0,0.6,59.0,0.492,79.0,0.342,0.504,0.524,4.3,2.4,11.2,0.6,6.6,0.29,0.42,0.5,6.3,106.4,104.8,2021-2022,Toronto Raptors
678,Tremont Waters,G,24.25,2,20.9,43.5,16.4,25.0,0.0,0.0,3.0,0.333,9.0,0.222,0.333,0.333,4.0,2.0,5.2,3.5,21.8,2.0,0.0,2.0,5.8,73.6,107.0,2021-2022,Toronto Raptors
699,D.J. Wilson,F,26.14,4,13.5,28.2,16.9,9.3,10.0,0.8,13.0,0.846,2.0,0.0,0.733,0.773,7.5,4.0,16.0,1.3,14.5,1.25,0.25,0.5,10.0,148.9,94.3,2021-2022,Toronto Raptors
712,Thaddeus Young,F,33.8,26,18.3,38.1,16.0,12.4,27.0,0.481,101.0,0.495,43.0,0.395,0.524,0.526,6.3,4.4,13.0,1.7,13.6,1.19,0.42,0.85,7.9,112.8,102.0,2021-2022,Toronto Raptors
15,Al-Farouq Aminu,F,28.73,16,25.0,52.0,15.3,11.4,36.0,0.75,58.0,0.397,51.0,0.294,0.417,0.473,7.4,6.3,13.3,1.3,7.5,0.56,0.63,1.0,6.3,104.2,104.3,2018-2019,Portland Trail Blazers
16,Zach Collins,F-C,21.57,16,17.2,35.8,17.7,17.9,25.0,0.8,60.0,0.567,21.0,0.333,0.549,0.592,6.8,3.6,11.0,0.9,7.9,0.44,1.38,1.25,6.5,108.3,92.7,2018-2019,Portland Trail Blazers
17,Seth Curry,G,28.81,16,20.4,42.5,12.5,7.5,11.0,0.818,30.0,0.3,52.0,0.404,0.494,0.518,5.6,1.6,4.1,0.8,5.7,0.75,0.25,0.44,3.8,108.6,107.1,2018-2019,Portland Trail Blazers
18,Maurice Harkless,F,26.09,16,24.2,50.5,15.9,12.0,36.0,0.639,81.0,0.556,28.0,0.25,0.509,0.537,8.4,4.9,10.7,1.4,9.0,1.13,1.0,1.06,6.4,111.4,97.9,2018-2019,Portland Trail Blazers
19,Rodney Hood,G,26.65,16,23.3,48.6,16.0,5.1,44.0,0.818,60.0,0.567,51.0,0.353,0.55,0.606,9.9,2.3,5.1,0.9,5.7,0.38,0.19,0.44,4.7,126.4,108.9,2018-2019,Portland Trail Blazers
20,Enes Kanter,C,27.07,16,28.8,60.0,17.9,13.7,41.0,0.756,142.0,0.521,4.0,0.25,0.517,0.555,11.4,9.7,17.8,1.2,6.5,0.69,0.56,1.63,7.1,112.2,103.8,2018-2019,Portland Trail Blazers
