RANK,FULL NAME,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG,YEAR,Franchise
136,Derrick Favors,F-C,27.92,5,20.6,43.0,20.4,10.1,19.0,0.684,33.0,0.697,3.0,0.0,0.639,0.665,11.8,7.4,18.8,0.8,7.8,0.8,1.8,1.0,8.0,130.6,94.9,2018-2019,Utah Jazz
137,Rudy Gobert,C,26.97,5,30.4,63.3,14.3,17.6,23.0,0.783,32.0,0.594,0.0,0.0,0.594,0.665,11.2,10.2,17.6,1.4,7.7,0.6,2.6,1.8,7.1,129.3,97.9,2018-2019,Utah Jazz
138,Joe Ingles,F,31.7,5,30.1,62.8,12.7,17.8,0.0,0.0,8.0,0.5,29.0,0.276,0.432,0.432,6.4,4.8,8.4,5.0,25.9,2.2,0.0,1.6,7.1,98.6,97.2,2018-2019,Utah Jazz
139,Donovan Mitchell,G,22.77,5,38.6,80.5,32.5,14.2,33.0,0.727,69.0,0.362,43.0,0.256,0.371,0.423,21.4,5.0,6.8,3.2,15.5,1.6,0.2,4.2,7.2,83.1,101.8,2018-2019,Utah Jazz
140,Georges Niang,F,25.99,5,11.0,22.9,18.6,8.3,0.0,0.0,9.0,0.556,13.0,0.308,0.5,0.5,4.4,2.8,13.4,1.0,16.4,0.2,0.2,0.4,8.4,100.4,98.0,2018-2019,Utah Jazz
141,Royce O'Neale,F,26.03,5,27.4,57.2,17.6,17.6,4.0,0.75,22.0,0.591,23.0,0.348,0.556,0.567,10.6,4.6,8.8,1.6,10.3,0.4,0.4,2.0,6.2,97.3,98.8,2018-2019,Utah Jazz
142,Ricky Rubio,G,28.65,5,33.5,69.8,22.8,16.7,20.0,0.85,46.0,0.522,20.0,0.2,0.455,0.515,15.4,3.2,5.0,8.6,46.4,2.4,0.2,3.0,9.0,108.5,99.7,2018-2019,Utah Jazz
165,Kyle Korver,G-F,38.24,4,7.5,15.5,14.7,9.7,3.0,0.667,2.0,0.5,6.0,0.333,0.5,0.536,2.5,1.3,8.8,0.0,0.0,0.0,0.0,0.25,0.0,102.7,90.6,2018-2019,Utah Jazz
173,Thabo Sefolosha,F,35.12,4,10.5,21.9,15.2,6.7,0.0,0.0,6.0,0.167,8.0,0.125,0.179,0.179,1.3,2.0,10.0,0.5,7.1,0.0,0.0,0.25,4.2,50.1,103.4,2018-2019,Utah Jazz
181,Raul Neto,G,27.07,3,6.5,13.6,13.0,0.0,0.0,0.0,5.0,0.2,1.0,0.0,0.167,0.167,0.7,1.0,8.0,0.3,7.6,0.0,0.0,0.0,3.7,48.3,100.5,2018-2019,Utah Jazz
198,Grayson Allen,G,23.68,2,7.1,14.7,30.4,0.0,7.0,0.714,4.0,0.5,3.0,0.0,0.286,0.446,4.5,0.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,99.8,113.0,2018-2019,Utah Jazz
199,Ekpe Udoh,C-F,32.07,2,3.1,6.4,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2018-2019,Utah Jazz
18,Tony Bradley,C-F,22.67,6,8.1,16.8,15.5,24.9,7.0,0.714,9.0,0.222,0.0,0.0,0.222,0.373,1.5,3.8,27.8,0.2,2.7,0.33,0.33,0.67,5.2,94.6,100.1,2019-2020,Utah Jazz
19,Jarrell Brantley,F,24.35,2,6.5,13.4,25.0,14.5,2.0,0.5,2.0,0.0,3.0,0.0,0.0,0.085,0.5,2.0,18.2,1.0,18.9,0.0,0.5,0.5,6.2,62.5,83.0,2019-2020,Utah Jazz
33,Jordan Clarkson,G,28.35,7,28.6,59.6,25.3,6.5,10.0,1.0,48.0,0.583,49.0,0.347,0.552,0.577,16.7,3.4,7.0,2.1,12.6,0.86,0.0,1.0,6.9,114.6,106.0,2019-2020,Utah Jazz
37,Mike Conley,G,33.0,5,33.0,68.7,22.3,6.4,22.0,0.864,30.0,0.433,34.0,0.529,0.625,0.672,19.8,2.8,5.0,5.2,25.0,1.6,0.2,1.0,8.0,140.7,107.5,2019-2020,Utah Jazz
69,Rudy Gobert,C,28.29,7,38.6,80.4,17.6,8.9,42.0,0.524,74.0,0.649,0.0,0.0,0.649,0.638,16.9,11.4,17.3,1.1,4.6,0.57,1.43,1.29,6.2,126.8,102.0,2019-2020,Utah Jazz
99,Joe Ingles,F-G,33.03,7,33.5,69.7,12.1,6.6,6.0,1.0,14.0,0.571,40.0,0.35,0.537,0.565,9.1,3.4,6.0,4.7,19.4,0.57,0.14,0.57,6.3,128.9,108.3,2019-2020,Utah Jazz
142,Donovan Mitchell,G,24.09,7,37.7,78.5,37.5,13.7,58.0,0.948,93.0,0.538,64.0,0.516,0.634,0.696,36.3,5.0,7.8,4.9,25.6,1.0,0.29,4.14,10.2,125.4,109.8,2019-2020,Utah Jazz
143,Juwan Morgan,F,23.49,7,12.3,25.7,8.5,6.4,6.0,0.333,2.0,0.5,10.0,0.2,0.333,0.342,1.4,3.0,14.2,0.7,7.4,0.29,0.0,0.14,4.7,101.7,99.0,2019-2020,Utah Jazz
147,Emmanuel Mudiay,G,24.6,3,11.3,23.5,22.0,6.3,2.0,0.5,11.0,0.273,3.0,0.667,0.429,0.437,4.3,2.0,10.4,0.7,8.8,0.0,0.33,0.33,6.4,94.0,115.0,2019-2020,Utah Jazz
153,Georges Niang,F,27.32,7,16.3,34.0,19.2,4.3,2.0,1.0,15.0,0.667,29.0,0.414,0.636,0.646,8.3,2.1,7.7,0.6,5.6,0.0,0.14,0.29,5.4,127.7,107.8,2019-2020,Utah Jazz
161,Royce O'Neale,F,27.35,7,35.5,74.0,9.0,27.3,6.0,0.5,10.0,0.3,22.0,0.455,0.563,0.563,5.6,5.4,9.0,2.7,10.0,1.29,0.29,1.86,4.9,99.0,102.0,2019-2020,Utah Jazz
162,Miye Oni,G-F,23.19,2,7.0,14.6,23.4,14.3,0.0,0.0,2.0,1.0,4.0,0.25,0.583,0.583,3.5,2.0,16.7,0.0,0.0,0.5,0.5,0.5,0.0,108.1,94.9,2019-2020,Utah Jazz
196,Rayjon Tucker,G,23.05,2,5.6,11.6,25.3,16.7,0.0,0.0,2.0,0.5,3.0,0.333,0.5,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,80.1,109.2,2019-2020,Utah Jazz
211,Nigel Williams-Goss,G,26.07,1,2.4,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,50.9,0.0,0.0,0.0,0.0,,,2019-2020,Utah Jazz
53,Bojan Bogdanovic,F,32.26,11,35.5,73.9,20.2,13.5,41.0,0.878,60.0,0.483,76.0,0.461,0.599,0.646,18.1,4.3,7.0,1.5,6.2,0.91,0.0,2.18,5.5,117.2,106.9,2020-2021,Utah Jazz
54,Jordan Clarkson,G,29.12,11,27.1,56.4,29.7,11.5,26.0,0.962,68.0,0.485,97.0,0.351,0.509,0.547,17.5,3.1,6.6,1.5,9.5,0.64,0.27,2.09,6.4,103.9,109.4,2020-2021,Utah Jazz
55,Derrick Favors,F,30.02,11,13.1,27.4,10.1,18.2,9.0,0.556,23.0,0.696,0.0,0.0,0.696,0.686,3.4,4.2,18.5,0.3,2.9,0.18,0.91,0.55,5.0,133.9,94.2,2020-2021,Utah Jazz
56,Rudy Gobert,C,29.07,11,34.2,71.3,15.0,13.4,66.0,0.636,80.0,0.75,1.0,0.0,0.741,0.736,14.7,12.3,20.9,0.8,3.6,0.55,2.09,1.55,6.1,140.2,98.0,2020-2021,Utah Jazz
57,Joe Ingles,F-G,33.8,11,27.8,58.0,13.6,9.6,13.0,0.769,21.0,0.714,58.0,0.414,0.646,0.661,10.2,3.1,6.5,3.5,17.7,0.64,0.0,0.82,6.9,135.9,107.8,2020-2021,Utah Jazz
59,Georges Niang,F,28.09,11,11.7,24.4,16.8,16.4,4.0,1.0,9.0,0.222,30.0,0.3,0.397,0.429,3.2,1.7,8.6,0.7,8.4,0.0,0.09,0.73,5.3,86.4,99.4,2020-2021,Utah Jazz
60,Royce O'Neale,F,28.13,11,36.7,76.5,10.8,8.1,12.0,0.833,25.0,0.6,60.0,0.467,0.671,0.687,11.3,7.3,11.5,2.1,7.9,1.09,0.27,0.73,6.1,140.5,101.8,2020-2021,Utah Jazz
67,Donovan Mitchell,G,24.87,10,34.6,72.0,38.0,9.4,76.0,0.829,120.0,0.458,115.0,0.435,0.553,0.602,32.3,4.2,7.1,5.5,30.4,1.1,0.2,2.8,10.5,120.3,107.6,2020-2021,Utah Jazz
83,Miye Oni,G-F,23.96,8,5.2,10.8,5.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.4,4.2,0.0,0.0,0.13,0.0,0.0,0.0,48.9,96.3,2020-2021,Utah Jazz
104,Mike Conley,G,33.78,6,29.3,61.0,22.5,15.7,16.0,1.0,31.0,0.355,37.0,0.486,0.559,0.613,15.3,3.5,7.0,7.7,39.5,0.17,0.5,2.33,10.2,128.8,106.5,2020-2021,Utah Jazz
176,Trent Forrest,G,23.11,4,2.4,4.9,18.7,0.0,0.0,0.0,4.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-2021,Utah Jazz
203,Matt Thomas,G,26.96,3,2.3,4.8,12.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,8.4,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-2021,Utah Jazz
211,Jarrell Brantley,F,25.12,2,1.7,3.5,37.5,34.7,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.266,0.5,0.5,17.1,0.0,0.0,0.0,0.0,0.5,0.0,,,2020-2021,Utah Jazz
223,Juwan Morgan,F,24.26,2,2.9,5.9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,20.4,0.5,21.2,0.0,0.0,0.0,0.0,,,2020-2021,Utah Jazz
228,Udoka Azubuike,C-F,21.84,1,1.2,2.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-2021,Utah Jazz
232,Ersan Ilyasova,F,34.18,1,3.4,7.1,37.5,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.694,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020-2021,Utah Jazz
7,Nickeil Alexander-Walker,G,23.61,15,9.9,20.7,17.9,13.1,12.0,0.917,15.0,0.4,33.0,0.303,0.438,0.497,3.5,1.5,8.4,1.1,15.5,0.33,0.27,0.53,7.2,104.5,102.3,2021-2022,Utah Jazz
26,Udoka Azubuike,C-F,22.57,17,11.5,23.9,14.7,18.2,11.0,0.545,49.0,0.755,0.0,0.0,0.755,0.743,4.7,4.2,19.9,0.0,0.0,0.06,0.65,0.71,0.0,124.9,97.7,2021-2022,Utah Jazz
60,Bojan Bogdanovic,F,32.98,69,30.9,64.4,23.7,10.1,260.0,0.858,461.0,0.523,468.0,0.387,0.552,0.598,18.1,4.3,7.6,1.7,8.7,0.49,0.01,1.7,6.6,116.4,109.6,2021-2022,Utah Jazz
96,Jared Butler,G,21.63,42,8.6,17.8,23.1,17.3,16.0,0.688,63.0,0.524,88.0,0.318,0.497,0.509,3.8,1.1,6.8,1.5,26.0,0.4,0.19,0.79,8.6,102.0,99.2,2021-2022,Utah Jazz
114,Zylan Cheatham,F,26.4,1,5.2,10.8,25.1,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.5,2021-2022,Utah Jazz
120,Jordan Clarkson,G,29.84,79,27.1,56.5,26.8,9.8,174.0,0.828,516.0,0.535,597.0,0.318,0.504,0.532,16.0,3.5,7.0,2.5,14.5,0.84,0.2,1.63,7.7,107.9,107.4,2021-2022,Utah Jazz
126,Mike Conley,G,34.5,72,28.6,59.6,20.9,12.5,162.0,0.796,377.0,0.464,414.0,0.408,0.542,0.572,13.7,3.0,5.8,5.3,27.7,1.33,0.29,1.71,8.4,120.2,106.8,2021-2022,Utah Jazz
196,Malik Fitts,F,20.0,7,5.0,10.4,13.7,18.2,0.0,0.0,5.0,0.0,4.0,0.5,0.333,0.333,0.9,1.4,15.7,0.0,0.0,0.0,0.0,0.29,0.0,57.2,102.3,2021-2022,Utah Jazz
202,Trent Forrest,G,23.83,60,12.8,26.6,12.8,21.4,48.0,0.792,128.0,0.555,27.0,0.185,0.506,0.554,3.3,1.7,7.1,1.8,18.6,0.5,0.1,0.8,6.8,111.7,108.2,2021-2022,Utah Jazz
221,Rudy Gay,F-G,35.65,55,18.9,39.3,19.3,10.2,79.0,0.785,176.0,0.494,203.0,0.345,0.507,0.539,8.1,4.4,12.7,1.0,7.8,0.45,0.35,0.85,7.0,110.7,103.1,2021-2022,Utah Jazz
228,Rudy Gobert,C,29.79,66,32.1,66.9,16.9,14.5,439.0,0.69,504.0,0.718,4.0,0.0,0.713,0.732,15.6,14.7,24.9,1.1,5.0,0.68,2.09,1.8,7.9,138.5,99.6,2021-2022,Utah Jazz
273,Juancho Hernangomez,F,26.54,17,17.5,36.5,13.2,8.9,21.0,0.476,25.0,0.64,48.0,0.438,0.651,0.638,6.2,3.5,11.0,0.8,6.5,0.53,0.41,0.47,5.9,128.4,106.9,2021-2022,Utah Jazz
298,Danuel House Jr.,F-G,28.84,25,19.6,40.9,13.8,9.7,39.0,0.692,41.0,0.512,82.0,0.415,0.585,0.61,6.8,2.7,7.6,1.0,7.0,0.64,0.48,0.6,5.4,122.4,106.7,2021-2022,Utah Jazz
303,Elijah Hughes,G,24.09,14,8.0,16.7,17.2,15.8,3.0,1.0,8.0,0.625,28.0,0.357,0.556,0.576,3.1,1.2,8.3,0.4,7.6,0.29,0.07,0.5,5.7,104.9,106.8,2021-2022,Utah Jazz
312,Joe Ingles,F-G,34.52,45,24.9,51.9,13.2,13.5,22.0,0.773,60.0,0.617,225.0,0.347,0.54,0.551,7.2,2.9,6.4,3.5,19.0,0.51,0.11,1.02,6.7,117.1,107.4,2021-2022,Utah Jazz
454,Donovan Mitchell,G,25.59,67,33.8,70.5,33.0,11.7,313.0,0.853,722.0,0.533,654.0,0.355,0.533,0.572,25.9,4.2,6.8,5.3,27.7,1.48,0.18,2.99,9.8,114.1,106.2,2021-2022,Utah Jazz
460,Greg Monroe,F-C,31.85,3,8.7,18.1,13.5,0.0,7.0,0.571,5.0,0.8,0.0,0.0,0.8,0.743,4.0,3.0,18.8,1.0,16.7,0.0,0.33,0.0,10.5,178.7,91.3,2021-2022,Utah Jazz
506,Royce O'Neale,F,28.85,77,31.2,65.1,9.9,14.3,56.0,0.804,138.0,0.609,306.0,0.389,0.591,0.608,7.4,4.8,8.4,2.5,10.5,1.1,0.42,1.01,5.7,122.5,105.5,2021-2022,Utah Jazz
507,Miye Oni,G-F,24.69,16,2.8,5.8,10.3,9.6,1.0,0.0,1.0,1.0,8.0,0.125,0.278,0.265,0.3,0.4,8.7,0.3,14.2,0.0,0.0,0.06,4.7,,,2021-2022,Utah Jazz
515,Eric Paschall,F,25.43,58,12.7,26.5,17.7,9.0,86.0,0.767,127.0,0.583,108.0,0.37,0.57,0.612,5.8,1.8,7.9,0.6,7.1,0.16,0.09,0.47,5.8,123.0,108.4,2021-2022,Utah Jazz
520,Norvel Pelle,C,29.18,3,6.3,13.2,16.1,28.6,0.0,0.0,5.0,0.6,0.0,0.0,0.6,0.6,2.0,2.0,17.3,0.0,0.0,0.0,0.33,0.67,0.0,101.3,109.3,2021-2022,Utah Jazz
608,Xavier Sneed,F,20.0,7,4.4,9.2,11.2,0.0,0.0,0.0,2.0,0.5,6.0,0.167,0.313,0.313,0.7,0.6,7.1,0.1,4.1,0.0,0.0,0.0,3.2,84.4,116.9,2021-2022,Utah Jazz
657,Denzel Valentine,G,28.4,2,9.3,19.3,14.1,33.3,0.0,0.0,1.0,1.0,3.0,0.333,0.625,0.625,2.5,2.0,11.8,0.0,0.0,0.5,0.0,1.0,0.0,75.3,92.6,2021-2022,Utah Jazz
687,Hassan Whiteside,C,32.83,65,17.9,37.3,17.1,11.6,167.0,0.623,330.0,0.652,0.0,0.0,0.652,0.662,8.2,7.6,23.2,0.4,3.4,0.34,1.58,0.82,6.5,133.0,93.6,2021-2022,Utah Jazz
151,Bojan Bogdanovic,F,30.16,4,36.9,76.9,23.8,7.8,17.0,0.882,41.0,0.439,22.0,0.318,0.452,0.511,18.0,5.8,8.5,2.8,14.1,2.0,0.0,1.5,7.2,104.4,104.5,2018-2019,Indiana Pacers
152,Darren Collison,G,31.81,4,29.2,60.8,22.7,17.3,6.0,1.0,34.0,0.441,11.0,0.364,0.467,0.504,12.0,3.0,5.6,4.0,25.6,0.5,0.0,2.5,7.2,97.8,103.6,2018-2019,Indiana Pacers
153,Tyreke Evans,G,29.74,4,21.0,43.8,32.9,10.0,14.0,0.571,28.0,0.357,20.0,0.55,0.552,0.563,15.3,4.3,11.0,0.8,8.0,0.5,0.25,1.5,7.1,99.7,99.0,2018-2019,Indiana Pacers
154,Cory Joseph,G,27.82,4,21.3,44.3,13.4,0.0,2.0,1.0,15.0,0.533,9.0,0.444,0.583,0.603,7.5,1.8,4.5,1.0,8.5,1.0,0.0,0.0,4.5,127.9,103.0,2018-2019,Indiana Pacers
155,Wesley Matthews,G-F,32.67,4,29.7,61.8,15.2,20.3,3.0,1.0,9.0,0.222,21.0,0.333,0.417,0.447,7.0,2.5,4.6,2.0,10.8,0.75,0.25,2.0,4.4,80.8,107.4,2018-2019,Indiana Pacers
156,Domantas Sabonis,F,23.11,4,24.0,50.1,19.2,12.5,14.0,0.643,25.0,0.44,4.0,0.25,0.431,0.484,8.5,7.3,16.5,4.0,29.1,0.75,0.25,1.25,10.5,109.6,94.4,2018-2019,Indiana Pacers
157,Myles Turner,F-C,23.22,4,31.5,65.6,15.9,6.9,13.0,0.615,21.0,0.524,14.0,0.214,0.443,0.479,9.8,6.3,10.8,1.5,8.1,0.0,1.75,0.75,5.7,101.9,99.6,2018-2019,Indiana Pacers
158,Thaddeus Young,F,30.98,4,32.6,67.9,17.6,10.0,7.0,0.571,34.0,0.471,8.0,0.25,0.452,0.466,10.5,7.0,11.7,3.8,20.5,2.75,0.75,1.25,8.0,104.9,99.1,2018-2019,Indiana Pacers
179,Doug McDermott,F,27.44,3,9.7,20.3,18.5,0.0,4.0,0.5,3.0,0.667,7.0,0.0,0.2,0.255,2.0,1.7,9.3,1.3,21.8,0.0,0.33,0.0,6.8,86.5,107.3,2018-2019,Indiana Pacers
180,Aaron Holiday,G,22.7,3,4.5,9.4,20.4,16.7,0.0,0.0,3.0,0.333,2.0,0.5,0.5,0.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,79.4,92.5,2018-2019,Indiana Pacers
209,TJ Leaf,F,22.12,1,9.8,20.4,18.2,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.258,2.0,3.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,77.5,110.9,2018-2019,Indiana Pacers
211,Kyle O'Quinn,C,29.22,1,1.6,3.3,28.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,2018-2019,Indiana Pacers
212,Edmond Sumner,G,23.45,1,1.6,3.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,68.2,0.0,0.0,0.0,0.0,0.0,0.0,,,2018-2019,Indiana Pacers
20,Malcolm Brogdon,G,27.83,4,40.0,83.2,25.1,11.5,28.0,0.893,41.0,0.415,24.0,0.375,0.469,0.556,21.5,4.3,6.2,10.0,41.9,1.0,0.0,2.5,9.7,117.8,107.4,2019-2020,Indiana Pacers
89,Aaron Holiday,G,24.03,4,18.0,37.4,17.4,14.7,5.0,0.6,12.0,0.667,9.0,0.444,0.667,0.668,7.8,1.3,4.1,2.5,23.4,1.0,0.0,1.0,6.5,122.8,98.5,2019-2020,Indiana Pacers
90,Justin Holiday,F-G,31.52,4,32.8,68.3,8.9,11.8,3.0,0.333,5.0,0.4,16.0,0.5,0.667,0.65,7.3,3.8,6.7,0.8,3.3,1.5,1.25,0.75,3.4,118.5,106.9,2019-2020,Indiana Pacers
104,Alize Johnson,F,24.47,1,0.2,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2019-2020,Indiana Pacers
133,T.J. McConnell,G,28.55,3,9.3,19.4,17.9,18.4,2.0,0.5,8.0,0.375,0.0,0.0,0.375,0.394,2.3,2.0,12.5,2.3,38.3,0.0,0.0,0.67,9.4,91.8,96.6,2019-2020,Indiana Pacers
134,Doug McDermott,F,28.77,4,13.6,28.3,13.5,6.3,0.0,0.0,5.0,0.4,10.0,0.2,0.333,0.333,2.5,0.8,3.2,0.3,2.7,0.25,0.0,0.25,2.5,67.8,110.2,2019-2020,Indiana Pacers
159,Victor Oladipo,G,28.44,4,30.6,63.8,28.9,18.2,16.0,0.938,23.0,0.435,33.0,0.364,0.5,0.563,17.8,3.3,6.2,2.5,14.1,2.25,0.0,3.5,6.9,96.2,98.6,2019-2020,Indiana Pacers
179,JaKarr Sampson,F,27.56,4,12.5,25.9,16.6,11.1,0.0,0.0,16.0,0.625,0.0,0.0,0.625,0.625,5.0,3.3,15.3,1.0,14.4,0.5,0.0,0.5,8.1,115.6,86.7,2019-2020,Indiana Pacers
187,Edmond Sumner,G,24.78,3,13.5,28.1,11.2,20.2,2.0,1.0,4.0,0.5,3.0,0.0,0.286,0.381,2.0,2.0,8.7,0.0,0.0,0.0,0.0,0.67,0.0,69.7,101.6,2019-2020,Indiana Pacers
197,Myles Turner,C-F,24.55,4,36.4,75.8,19.0,15.0,16.0,0.438,30.0,0.633,14.0,0.429,0.636,0.617,15.8,10.8,17.3,0.8,3.5,0.5,4.0,2.25,5.7,108.8,101.3,2019-2020,Indiana Pacers
205,T.J. Warren,F,27.1,4,39.1,81.4,24.4,13.3,9.0,1.0,49.0,0.51,19.0,0.368,0.522,0.556,20.0,6.3,9.4,3.0,13.8,2.25,0.25,2.75,7.4,102.8,100.2,2019-2020,Indiana Pacers
12,Justin Anderson,F-G,28.39,13,20.7,43.2,15.8,6.0,15.0,0.8,34.0,0.559,53.0,0.245,0.443,0.475,6.8,3.1,8.3,2.1,13.6,0.54,0.46,0.46,6.8,107.3,113.3,2021-2022,Indiana Pacers
55,Goga Bitadze,C-F,22.73,50,14.6,30.4,19.9,13.6,94.0,0.681,172.0,0.628,80.0,0.288,0.565,0.595,7.0,3.5,13.5,1.1,11.2,0.42,0.84,0.92,8.2,118.3,104.1,2021-2022,Indiana Pacers
74,Oshae Brissett,F-G,23.81,67,23.3,48.6,17.3,8.5,164.0,0.695,269.0,0.465,237.0,0.35,0.493,0.53,9.1,5.3,12.8,1.1,6.4,0.64,0.43,0.81,6.5,112.2,111.7,2021-2022,Indiana Pacers
75,Malcolm Brogdon,G,29.33,36,33.5,69.8,24.6,11.1,167.0,0.856,357.0,0.518,186.0,0.312,0.501,0.557,19.1,5.1,8.6,5.9,26.9,0.86,0.39,2.14,9.9,115.8,114.5,2021-2022,Indiana Pacers
112,Ahmad Caver,G,20.0,1,0.9,1.9,47.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Indiana Pacers
135,Torrey Craig,F,31.31,51,20.3,42.2,13.9,11.6,35.0,0.771,143.0,0.573,138.0,0.333,0.537,0.555,6.5,3.8,10.5,1.1,7.7,0.47,0.37,0.76,5.9,112.8,110.7,2021-2022,Indiana Pacers
174,Chris Duarte,G,24.83,55,28.0,58.4,21.1,11.8,112.0,0.804,366.0,0.475,255.0,0.369,0.507,0.537,13.1,4.1,8.2,2.1,10.9,1.02,0.18,1.64,6.9,104.4,113.7,2021-2022,Indiana Pacers
248,Tyrese Haliburton,G,22.11,26,36.1,75.1,20.3,19.3,86.0,0.849,184.0,0.571,137.0,0.416,0.593,0.633,17.5,4.3,6.6,9.6,38.9,1.85,0.58,3.31,9.9,122.9,114.3,2021-2022,Indiana Pacers
277,Buddy Hield,G,29.31,26,35.6,74.1,22.4,13.0,35.0,0.886,184.0,0.549,221.0,0.362,0.546,0.563,18.2,5.1,8.0,4.8,20.3,0.92,0.38,2.42,8.6,109.8,112.7,2021-2022,Indiana Pacers
283,Nate Hinton,G-F,22.84,2,1.2,2.5,35.7,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,2021-2022,Indiana Pacers
288,Justin Holiday,F-G,33.02,49,28.9,60.2,15.9,9.3,41.0,0.829,122.0,0.516,336.0,0.378,0.553,0.568,11.0,2.8,5.3,1.8,8.8,0.73,0.37,1.0,5.3,111.4,114.0,2021-2022,Indiana Pacers
318,Isaiah Jackson,F,20.25,36,15.0,31.3,22.5,14.0,88.0,0.682,190.0,0.584,16.0,0.313,0.575,0.607,8.3,4.2,15.5,0.3,2.9,0.67,1.44,1.11,5.8,113.2,99.5,2021-2022,Indiana Pacers
325,DeJon Jarreau,G,24.21,1,0.9,1.9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021-2022,Indiana Pacers
382,Jeremy Lamb,G-F,29.86,39,15.7,32.8,20.0,8.4,80.0,0.838,111.0,0.414,117.0,0.333,0.458,0.524,7.1,2.4,8.6,1.3,11.6,0.59,0.36,0.62,7.2,110.5,112.2,2021-2022,Indiana Pacers
392,Caris LeVert,G,27.63,39,31.1,64.8,26.8,9.9,146.0,0.76,433.0,0.501,189.0,0.323,0.496,0.53,18.7,3.8,6.9,4.4,22.8,0.9,0.46,1.92,8.7,108.9,113.2,2021-2022,Indiana Pacers
420,Kelan Martin,F,26.69,27,16.4,34.3,18.1,7.5,13.0,0.692,94.0,0.511,74.0,0.297,0.482,0.492,6.3,2.0,6.7,0.8,6.8,0.48,0.33,0.52,5.3,101.8,112.9,2021-2022,Indiana Pacers
433,T.J. McConnell,G,30.04,27,24.2,50.3,16.2,11.7,23.0,0.826,175.0,0.514,33.0,0.303,0.505,0.525,8.5,3.3,7.7,4.9,28.6,1.11,0.37,1.07,8.5,117.4,111.2,2021-2022,Indiana Pacers
522,Reggie Perry,F-C,22.06,1,9.9,20.6,4.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,200.0,89.5,2021-2022,Indiana Pacers
574,Domantas Sabonis,F-C,25.94,47,34.7,72.3,21.7,17.3,258.0,0.74,463.0,0.639,108.0,0.324,0.61,0.649,18.9,12.1,19.4,5.0,22.2,0.98,0.47,3.04,12.1,123.4,107.3,2021-2022,Indiana Pacers
606,Jalen Smith,F-C,22.07,22,24.7,51.4,20.1,7.8,50.0,0.76,130.0,0.631,83.0,0.373,0.603,0.628,13.4,7.7,17.4,0.8,5.1,0.41,1.05,0.91,7.1,124.6,109.7,2021-2022,Indiana Pacers
616,Lance Stephenson,F,31.6,40,18.6,38.8,23.7,16.5,78.0,0.795,223.0,0.516,87.0,0.31,0.502,0.542,9.3,2.8,8.4,3.9,31.2,0.6,0.1,1.7,10.0,107.7,107.2,2021-2022,Indiana Pacers
